REGION,TECHNOLOGY,STORAGE,MODE_OF_OPERATION,VALUE
GLOBAL,PWRSDSBTNXX01,SDSBTNXX01,1,1.0
GLOBAL,PWRSDSBTNXX01,SDSBTNXX01,2,0.0
GLOBAL,PWRSDSINDEA01,SDSINDEA01,1,1.0
GLOBAL,PWRSDSINDEA01,SDSINDEA01,2,0.0
GLOBAL,PWRSDSINDNE01,SDSINDNE01,1,1.0
GLOBAL,PWRSDSINDNE01,SDSINDNE01,2,0.0
GLOBAL,PWRSDSINDNO01,SDSINDNO01,1,1.0
GLOBAL,PWRSDSINDNO01,SDSINDNO01,2,0.0
GLOBAL,PWRSDSINDSO01,SDSINDSO01,1,1.0
GLOBAL,PWRSDSINDSO01,SDSINDSO01,2,0.0
GLOBAL,PWRSDSINDWE01,SDSINDWE01,1,1.0
GLOBAL,PWRSDSINDWE01,SDSINDWE01,2,0.0
GLOBAL,PWRLDSBTNXX01,LDSBTNXX01,1,1.0
GLOBAL,PWRLDSBTNXX01,LDSBTNXX01,2,0.0
GLOBAL,PWRLDSINDEA01,LDSINDEA01,1,1.0
GLOBAL,PWRLDSINDEA01,LDSINDEA01,2,0.0
GLOBAL,PWRLDSINDNE01,LDSINDNE01,1,1.0
GLOBAL,PWRLDSINDNE01,LDSINDNE01,2,0.0
GLOBAL,PWRLDSINDNO01,LDSINDNO01,1,1.0
GLOBAL,PWRLDSINDNO01,LDSINDNO01,2,0.0
GLOBAL,PWRLDSINDSO01,LDSINDSO01,1,1.0
GLOBAL,PWRLDSINDSO01,LDSINDSO01,2,0.0
GLOBAL,PWRLDSINDWE01,LDSINDWE01,1,1.0
GLOBAL,PWRLDSINDWE01,LDSINDWE01,2,0.0
